timestamp,iperf3_server,iperf3_port,iperf_direction,iperf_throughput_mbps,iperf_jitter_ms,iperf_loss_percent,tag
2025-10-20T14:29:01.932153+00:00,192.168.10.94,5201,upload,123.604,,,pole8
2025-10-20T14:29:14.232280+00:00,192.168.10.94,5201,download,136.939,,,pole8
2025-10-20T14:29:54.353769+00:00,192.168.10.94,5201,upload,54.933,,,pole8
2025-10-20T14:30:06.620320+00:00,192.168.10.94,5201,download,175.838,,,pole8
2025-10-20T14:30:46.735540+00:00,192.168.10.94,5201,upload,157.762,,,pole8
2025-10-20T14:30:59.041711+00:00,192.168.10.94,5201,download,42.779,,,pole8
2025-10-20T14:31:39.397209+00:00,192.168.10.94,5201,upload,93.823,,,pole8
2025-10-20T14:31:51.807386+00:00,192.168.10.94,5201,download,121.617,,,pole8
2025-10-20T14:32:32.002157+00:00,192.168.10.94,5201,upload,74.846,,,pole8
2025-10-20T14:32:44.901048+00:00,192.168.10.94,5201,download,134.415,,,pole8
2025-10-20T14:33:25.066816+00:00,192.168.10.94,5201,upload,75.475,,,pole8
2025-10-20T14:33:37.786429+00:00,192.168.10.94,5201,download,137.982,,,pole8
2025-10-20T14:34:33.700614+00:00,192.168.10.94,5201,upload,139.734,,,pole8
2025-10-20T14:34:45.933825+00:00,192.168.10.94,5201,download,169.851,,,pole8
