timestamp,lat,long,bssid,signal_dbm,frequency,channel,ssid,devicename
2025-10-09T15:31:47.531980+00:00,,,60:22:32:16:00:d2,-45,2437,6,Bermuda,laundry2
2025-10-09T15:31:47.531980+00:00,,,28:70:4e:d0:88:30,-80,2412,1,Bermuda,pole 08
2025-10-09T15:31:47.531980+00:00,,,62:22:32:16:00:d2,-44,2437,6,Bermuda Guest WIFI,laundry2
2025-10-09T15:31:47.531980+00:00,,,28:70:4e:d0:87:dc,-76,2462,11,Bermuda,pole 07
2025-10-09T15:31:47.531980+00:00,,,2e:70:4e:d0:87:dc,-76,2462,11,Bermuda Guest WIFI,pole 07
2025-10-09T15:31:47.531980+00:00,,,60:22:32:16:00:d3,-32,5240,49,Bermuda,laundry2
2025-10-09T15:31:47.531980+00:00,,,62:22:32:16:00:d3,-33,5240,49,Bermuda Guest WIFI,laundry2
2025-10-09T15:31:47.531980+00:00,,,28:70:4e:d0:87:dd,-69,5220,45,Bermuda,pole 07
2025-10-09T15:31:47.531980+00:00,,,2e:70:4e:d0:87:dd,-69,5220,45,Bermuda Guest WIFI,pole 07
2025-10-09T15:32:32.385767+00:00,,,60:22:32:16:00:d2,-46,2437,6,Bermuda,laundry2
2025-10-09T15:32:32.385767+00:00,,,62:22:32:16:00:d2,-46,2437,6,Bermuda Guest WIFI,laundry2
2025-10-09T15:32:32.385767+00:00,,,28:70:4e:d0:87:dc,-76,2462,11,Bermuda,pole 07
2025-10-09T15:32:32.385767+00:00,,,2e:70:4e:d0:87:dc,-78,2462,11,Bermuda Guest WIFI,pole 07
2025-10-09T15:32:32.385767+00:00,,,2e:70:4e:d2:8b:2d,-86,2462,11,Bermuda Guest WIFI,pole 02 N
2025-10-09T15:32:32.385767+00:00,,,60:22:32:16:00:d3,-31,5240,49,Bermuda,laundry2
2025-10-09T15:32:32.385767+00:00,,,62:22:32:16:00:d3,-31,5240,49,Bermuda Guest WIFI,laundry2
