timestamp,lat,long,bssid,signal_dbm,frequency,channel,ssid,devicename
2025-10-31_14-06-57,26.6728675,-81.8076205,2e:70:4e:d0:88:31,-58,5745,150,Bermuda,pole 08
2025-10-31_14-06-57,26.6728675,-81.8076205,28:70:4e:d0:88:30,-78,2427,4,Bermuda 2G,pole 08
2025-10-31_14-06-57,26.6728675,-81.8076205,2e:70:4e:d0:88:30,-78,2427,4,Bermuda Guest WIFI 2G,pole 08
2025-10-31_14-06-57,26.6728675,-81.8076205,28:70:4e:d0:87:dc,-79,2462,11,Bermuda 2G,pole 07
2025-10-31_14-06-57,26.6728675,-81.8076205,2e:70:4e:d0:87:dc,-81,2462,11,Bermuda Guest WIFI 2G,pole 07
2025-10-31_14-06-57,26.672867833333335,-81.80762466666667,28:70:4e:d0:88:31,-58,5745,150,Bermuda Guest WIFI,pole 08
2025-10-31_14-06-57,26.672867833333335,-81.80762466666667,2e:70:4e:d0:88:31,-64,5745,150,Bermuda,pole 08
2025-10-31_14-06-57,26.672867833333335,-81.80762466666667,28:70:4e:d0:88:30,-70,2427,4,Bermuda 2G,pole 08
2025-10-31_14-06-57,26.672867833333335,-81.80762466666667,2e:70:4e:d0:88:30,-71,2427,4,Bermuda Guest WIFI 2G,pole 08
2025-10-31_14-06-57,26.672867833333335,-81.80762466666667,28:70:4e:d0:87:dc,-79,2462,11,Bermuda 2G,pole 07
2025-10-31_14-06-57,26.672867833333335,-81.80762466666667,2e:70:4e:d0:87:dc,-81,2462,11,Bermuda Guest WIFI 2G,pole 07
2025-10-31_14-06-57,26.672866833333334,-81.80762,2e:70:4e:d0:88:31,-62,5745,150,Bermuda,pole 08
2025-10-31_14-06-57,26.672866833333334,-81.80762,28:70:4e:d0:88:31,-62,5745,150,Bermuda Guest WIFI,pole 08
2025-10-31_14-06-57,26.672866833333334,-81.80762,28:70:4e:d0:88:30,-70,2427,4,Bermuda 2G,pole 08
2025-10-31_14-06-57,26.672866833333334,-81.80762,2e:70:4e:d0:88:30,-71,2427,4,Bermuda Guest WIFI 2G,pole 08
2025-10-31_14-06-57,26.672866833333334,-81.80762,28:70:4e:d0:87:dc,-79,2462,11,Bermuda 2G,pole 07
2025-10-31_14-06-57,26.672866833333334,-81.80762,2e:70:4e:d0:87:dc,-81,2462,11,Bermuda Guest WIFI 2G,pole 07
2025-10-31_14-06-57,26.672866833333334,-81.80762,62:22:32:16:00:d3,-86,5240,49,Bermuda,laundry2
2025-10-31_14-06-57,26.672865666666667,-81.80762033333333,2e:70:4e:d0:88:31,-62,5745,150,Bermuda,pole 08
2025-10-31_14-06-57,26.672865666666667,-81.80762033333333,28:70:4e:d0:88:31,-62,5745,150,Bermuda Guest WIFI,pole 08
2025-10-31_14-06-57,26.672865666666667,-81.80762033333333,28:70:4e:d0:88:30,-66,2427,4,Bermuda 2G,pole 08
2025-10-31_14-06-57,26.672865666666667,-81.80762033333333,2e:70:4e:d0:88:30,-67,2427,4,Bermuda Guest WIFI 2G,pole 08
2025-10-31_14-06-57,26.672865666666667,-81.80762033333333,28:70:4e:d0:87:dd,-68,5220,45,Bermuda Guest WIFI,pole 07
2025-10-31_14-06-57,26.672865666666667,-81.80762033333333,2e:70:4e:d0:87:dc,-78,2462,11,Bermuda Guest WIFI 2G,pole 07
2025-10-31_14-06-57,26.672865666666667,-81.80762033333333,28:70:4e:d0:87:dc,-79,2462,11,Bermuda 2G,pole 07
2025-10-31_14-06-57,26.672865666666667,-81.80762033333333,62:22:32:16:00:d3,-86,5240,49,Bermuda,laundry2
