,iperf_throughput_mbps,iperf_throughput_mbps,iperf_throughput_mbps,connected_rssi,channel_overlap,lat,long
,mean,min,max,mean,mean,first,first
site_number,,,,,,,
1,33.73,33.7,33.76,-66.0,6.027027027027027,26.67,-81.8
2,14.04,8.28,19.8,-69.0,7.588235294117647,26.67,-81.8
3,37.42,25.77,49.07,-69.0,7.588235294117647,26.67,-81.8
4,56.63,34.8,79.9,-63.0,10.157894736842104,26.67,-81.8
5,81.01,62.45,99.58,-63.0,10.157894736842104,26.67,-81.8
6,88.88,82.77,94.99,-56.0,11.527472527472527,26.67,-81.8
7,118.59,117.24,119.94,-50.0,11.872340425531915,26.67,-81.8
8,83.49,75.28,91.69,-57.0,11.872340425531915,26.67,-81.8
9,90.4,68.19,112.6,-60.0,11.872340425531915,26.67,-81.8
10,57.13,42.76,71.5,-65.0,11.872340425531915,26.67,-81.8
11,1.53,0.0,3.04,-62.5,12.27,26.67,-81.8
12,11.47,7.74,15.2,-51.0,12.27,26.67,-81.8
13,8.78,7.44,10.11,-55.0,12.27,26.67,-81.8
14,3.51,0.0,7.02,-71.0,11.851485148514852,26.67,-81.8
15,73.08,51.27,94.88,-59.0,8.076923076923077,26.67,-81.8
16,65.52,44.23,86.81,-56.0,8.076923076923077,26.67,-81.8
17,72.91,56.91,88.91,-54.0,8.076923076923077,26.67,-81.8
18,56.48,36.65,76.32,-58.0,8.076923076923077,26.67,-81.8
19,37.11,0.0,74.23,-68.0,9.2,26.67,-81.8
20,59.76,40.24,79.27,-67.0,10.038461538461538,26.67,-81.8
21,71.9,57.84,85.97,-58.0,10.038461538461538,26.67,-81.8
22,67.79,63.87,71.71,-64.0,10.038461538461538,26.67,-81.8
23,76.54,73.92,79.15,-52.0,10.038461538461538,26.67,-81.8
24,70.3,65.21,75.39,-56.0,10.505747126436782,26.67,-81.8
26,38.76,9.33,68.19,-74.0,11.57,26.67,-81.8
27,54.43,41.54,67.31,-64.0,11.971153846153847,26.67,-81.8
28,76.87,61.26,92.47,-60.0,11.971153846153847,26.67,-81.8
42,78.22,71.71,84.74,-63.0,8.014084507042254,26.67,-81.8
43,82.13,73.39,90.88,-52.0,8.014084507042254,26.67,-81.8
58,50.04,8.02,92.05,-71.0,7.8933333333333335,26.67,-81.8
59,12.21,0.0,24.43,-68.0,8.4125,26.67,-81.8
60,2.97,2.17,3.77,-61.0,9.32183908045977,26.67,-81.8
61,5.15,4.63,5.66,-60.0,9.32183908045977,26.67,-81.8
62,2.62,0.0,5.24,-72.0,7.909090909090909,26.67,-81.8
63,2.04,1.56,2.52,-72.0,8.683333333333334,26.67,-81.8
64,4.05,2.33,5.77,-67.0,8.683333333333334,26.67,-81.8
65,2.99,0.0,5.98,-58.0,8.683333333333334,26.67,-81.8
66,7.14,5.03,9.25,-49.0,9.673913043478262,26.67,-81.8
67,2.46,1.15,3.77,-62.0,9.673913043478262,26.67,-81.8
68,2.46,0.0,4.93,-66.0,9.673913043478262,26.67,-81.8
69,1.99,0.0,3.98,-55.0,9.673913043478262,26.67,-81.8
70,26.94,1.57,93.0,-65.64900662251655,8.14569536423841,26.67,-81.81
71,51.21,0.0,162.28,-62.88741721854305,8.14569536423841,26.67,-81.81
72,61.15,0.78,182.74,-61.18543046357616,8.14569536423841,26.67,-81.81
73,150.98,110.01,191.96,-45.0,8.183098591549296,26.67,-81.81
75,3.94,0.32,7.55,-61.0,9.645833333333334,26.67,-81.81
76,109.64,60.55,158.73,-47.0,14.899280575539569,26.67,-81.81
77,115.63,74.73,156.52,-51.0,14.899280575539569,26.67,-81.81
78,106.78,42.55,171.0,-60.0,14.899280575539569,26.67,-81.81
79,97.28,30.57,163.98,-61.0,14.902097902097902,26.67,-81.81
80,117.75,58.42,177.07,-58.0,14.902097902097902,26.67,-81.81
81,53.63,0.0,107.26,-62.0,14.902097902097902,26.67,-81.81
