timestamp,lat,long,bssid,signal_dbm,frequency,channel,ssid,devicename
20251023_115218,,,82:8a:20:49:2d:4a,-43,2462,11,northtrail-av,Unknown
20251023_115218,,,86:8a:20:49:2d:4a,-44,2462,11,northtrail-emps,Unknown
20251023_115218,,,78:8a:20:49:2d:4a,-44,2462,11,northtrail,Unknown
20251023_115218,,,78:8a:20:4a:2d:4a,-45,5600,121,northtrail,Unknown
20251023_115218,,,7e:8a:20:4a:2d:4a,-45,5600,121,northtrail-guest,Unknown
20251023_115218,,,86:8a:20:4a:2d:4a,-45,5600,121,northtrail-emps,Unknown
20251023_115218,,,82:8a:20:4a:2d:4a,-45,5600,121,northtrail-av,Unknown
20251023_115218,,,7e:8a:20:49:2d:4a,-46,2462,11,northtrail-guest,Unknown
20251023_115218,,,f6:9f:c2:34:ff:2d,-68,2412,1,northtrail-guest,Unknown
20251023_115218,,,fe:9f:c2:34:ff:2d,-68,2412,1,northtrail-emps,Unknown
20251023_115218,,,f0:9f:c2:34:ff:2d,-69,2412,1,northtrail,Unknown
20251023_115218,,,fa:9f:c2:34:ff:2d,-69,2412,1,northtrail-av,Unknown
20251023_115218,,,82:8a:20:49:26:46,-72,2437,6,northtrail-av,Unknown
20251023_115218,,,86:8a:20:49:26:46,-72,2437,6,northtrail-emps,Unknown
20251023_115218,,,78:8a:20:49:26:46,-73,2437,6,northtrail,Unknown
20251023_115218,,,7e:8a:20:49:26:46,-74,2437,6,northtrail-guest,Unknown
20251023_115218,,,7e:8a:20:21:86:49,-75,2437,6,northtrail-guest,Unknown
20251023_115218,,,78:8a:20:21:86:49,-76,2437,6,northtrail,Unknown
20251023_115218,,,82:8a:20:21:86:49,-76,2437,6,northtrail-av,Unknown
20251023_115218,,,82:8a:20:21:86:92,-77,2412,1,northtrail-av,Unknown
20251023_115218,,,78:8a:20:21:86:92,-78,2412,1,northtrail,Unknown
20251023_115218,,,7e:8a:20:21:86:92,-79,2412,1,northtrail-guest,Unknown
20251023_115218,,,02:17:1a:c7:9a:37,-79,2457,10,Winegard2ghzC79A35,Unknown
20251023_115218,,,02:17:c8:d2:87:b1,-79,2462,11,DIRECT-6kAlan-Copier,Unknown
20251023_115218,,,fc:27:a2:11:7d:ae,-79,5805,162,WIVU-FC27A2117DAE,Unknown
20251023_115218,,,f0:9f:c2:35:ff:2d,-80,5720,145,northtrail,Unknown
20251023_115218,,,f6:9f:c2:35:ff:2d,-80,5720,145,northtrail-guest,Unknown
20251023_115218,,,fe:9f:c2:35:ff:2d,-81,5720,145,northtrail-emps,Unknown
20251023_115218,,,78:8a:20:22:86:49,-82,5200,41,northtrail,Unknown
20251023_115218,,,86:8a:20:22:86:49,-82,5200,41,northtrail-emps,Unknown
20251023_115218,,,82:8a:20:22:86:49,-82,5200,41,northtrail-av,Unknown
20251023_115218,,,02:17:1a:c6:29:e4,-85,5825,166,Pvt.WFR_Denali.5GHz.7373,Unknown
20251023_115218,,,78:8a:20:4a:26:46,-85,5320,65,northtrail,Unknown
20251023_115218,,,7e:8a:20:4a:26:46,-85,5320,65,northtrail-guest,Unknown
20251023_115218,,,78:8a:20:49:26:86,-86,2437,6,northtrail,Unknown
20251023_115218,,,7e:8a:20:49:26:86,-86,2437,6,northtrail-guest,Unknown
20251023_115218,,,82:8a:20:49:26:86,-86,2437,6,northtrail-av,Unknown
20251023_115218,,,7e:8a:20:4a:26:86,-86,5745,150,northtrail-guest,Unknown
20251023_115218,,,82:8a:20:4a:26:86,-86,5745,150,northtrail-av,Unknown
